"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"3097","Mauritania",435,1991,-0.667136371135712,0,7.61923360824585,6.85540866851807,-0.600000023841858
"3098","Mauritania",435,1992,-0.659816324710846,0,7.6534948348999,6.8373327255249,-0.600000023841858
"3099","Mauritania",435,1993,-0.733159959316254,0,7.67275810241699,6.85435438156128,-0.600000023841858
"3100","Mauritania",435,1994,-0.612308025360107,0,7.70165252685547,6.86901426315308,-0.600000023841858
"3101","Mauritania",435,1995,-0.588051497936249,0,7.73412132263184,6.89162588119507,-0.600000023841858
"3102","Mauritania",435,1996,-0.566378533840179,0,7.76302146911621,6.92853784561157,-0.600000023841858
"3103","Mauritania",435,1997,-0.697851717472076,0,7.78030300140381,6.94119024276733,-0.600000023841858
"3104","Mauritania",435,1998,-0.632402181625366,0,7.83597469329834,6.95177221298218,-0.600000023841858
"3105","Mauritania",435,1999,-0.725552916526794,0,7.86288213729858,6.96602439880371,-0.600000023841858
"3106","Mauritania",435,2000,-0.725409388542175,0,7.89020824432373,6.98933506011963,-0.600000023841858
"3107","Mauritania",435,2001,-0.691823422908783,0,7.89058256149292,7.00669527053833,-0.600000023841858
"3108","Mauritania",435,2002,-0.793873012065887,0,7.89095687866211,7.02108383178711,-0.600000023841858
"3109","Mauritania",435,2003,-0.827028393745422,0,7.89133071899414,7.05012273788452,-0.600000023841858
"3110","Mauritania",435,2004,-0.68737405538559,0,7.89170455932617,7.07580900192261,-0.600000023841858
"3111","Mauritania",435,2005,-0.962663888931274,0,7.8945164680481,7.10332202911377,-0.5
"3112","Mauritania",435,2006,-1.07590878009796,0,7.89811944961548,7.1869010925293,-0.300000011920929
"3113","Mauritania",435,2007,-1.01935815811157,0,7.90297031402588,7.17242479324341,0.400000005960464
"3114","Mauritania",435,2008,-1.05093467235565,0,7.90853309631348,7.13863134384155,-0.5
"3115","Mauritania",435,2009,-1.23235619068146,0,7.91481447219849,7.1233696937561,-0.200000002980232
"3116","Niger",436,1960,-2.00971269607544,0,8.01598739624023,6.63463354110718,-0.699999988079071
"3117","Niger",436,1961,-2.0125834941864,0,8.05165958404541,6.65544033050537,-0.699999988079071
"3118","Niger",436,1962,-2.00971269607544,0,8.09162712097168,6.73459148406982,-0.699999988079071
"3119","Niger",436,1963,-1.68992865085602,0,8.11162853240967,6.80793476104736,-0.699999988079071
"3120","Niger",436,1964,-1.67514514923096,0,8.13798046112061,6.78897190093994,-0.699999988079071
"3121","Niger",436,1965,-1.61945569515228,0,8.16451072692871,6.84054660797119,-0.699999988079071
"3122","Niger",436,1966,-1.55960381031036,0,8.19118595123291,6.80682945251465,-0.699999988079071
"3123","Niger",436,1967,-1.49214482307434,0,8.21770858764648,6.7900972366333,-0.699999988079071
"3124","Niger",436,1968,-1.45841538906097,0,8.24459648132324,6.77650690078735,-0.699999988079071
